Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Website,Last Funding Type,Last Funding Amount,Total Funding Amount,Trend Score (90 Days),Number of Employees,Categories,Founded Date,Status,Last Funding Date,Total Equity Funding Amount,Valuation at IPO
ThoughtSpot,https://www.crunchbase.com/organization/thoughtspot,"Data and Analytics, Software","Palo Alto, California, United States",Search-driven Analytics for the Enterprise. New breed of Relational Search Engine designed for data analytics.,36,http://thoughtspot.com,Series C,"$60,000,000","$150,700,000",9.5,101-250,"Business Intelligence, Enterprise Software, Big Data, Analytics",06/01/2012,Operating,08/17/2017,"$150,700,000",
Hyperloop One,https://www.crunchbase.com/organization/hyperloop-technolgies,"Manufacturing, Travel and Tourism, Transportation","Los Angeles, California, United States",Hyperloop One reinvents transportation to eliminate barriers of time.,38,https://hyperloop-one.com/,Convertible Note,"$50,000,000","$141,100,000",4.6,101-250,"Manufacturing, Transportation, Travel",01/01/2014,Operating,10/13/2016,"$141,100,000",
Groupon,https://www.crunchbase.com/organization/groupon,"Commerce and Shopping, Media and Entertainment, Sales and Marketing, Internet Services, Advertising","Chicago, Illinois, United States",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,43,http://www.groupon.com,Post-IPO Equity,"$250,000,000","$1,387,000,000",3.6,1001-5000,"Social Media, Retail, Advertising, Internet",11/11/2008,IPO,04/04/2016,"$1,387,000,000","$12,708,067,040"
Impossible Foods,https://www.crunchbase.com/organization/impossible-foods,"Food and Beverage, Health Care","Redwood City, California, United States",Impossible Foods develops a new generation of meats and cheeses made entirely from plants.,44,http://impossiblefoods.com/,Convertible Note,"$75,000,000","$273,500,000",8.6,101-250,"Food and Beverage, Food Processing, Nutrition",01/01/2011,Operating,08/01/2017,"$257,000,000",
Lyft,https://www.crunchbase.com/organization/lyft,"Apps, Software, Transportation, Mobile","San Francisco, California, United States",Lyft is reconnecting people and communities through better transportation.,45,http://lyft.com,Series G,"$600,000,000","$2,612,500,000",5.4,1001-5000,"Transportation, Ride Sharing, Mobile Apps, Peer to Peer",01/01/2007,Operating,04/11/2017,"$2,612,500,000",
Outbrain,https://www.crunchbase.com/organization/outbrain,"Media and Entertainment, Sales and Marketing, Internet Services, Content and Publishing","New York, New York, United States",Outbrain is a content discovery platform providing publishers a service for recommended links to increase traffic and generate revenue.,47,http://www.outbrain.com,Private Equity,"$45,000,000","$194,000,000",5.5,501-1000,"Internet, Content Discovery, Digital Marketing, Content Marketing",01/01/2006,Operating,05/10/2016,"$194,000,000",
TuneIn,https://www.crunchbase.com/organization/tunein-inc,"Media and Entertainment, Music and Audio, Content and Publishing, Mobile","San Francisco, California, United States","TuneIn allows users to stream and listen to online radio, talkshows, and news on demand.",48,http://tunein.com,Series Unknown,"$50,000,000","$103,122,231",6.9,51-100,"Mobile, Music, Internet Radio, News",01/01/2002,Operating,08/11/2017,"$103,122,231",
Zillow,https://www.crunchbase.com/organization/zillow,"Commerce and Shopping, Real Estate, Internet Services","Seattle, Washington, United States","Zillow is an online real estate marketplace for finding and sharing information about homes, real estate, and mortgages.",49,http://www.zillow.com,Post-IPO Equity,"$4,128,000","$96,627,980",-0.7,1001-5000,"Marketplace, Real Estate, Online Portals",01/01/2005,IPO,12/12/2012,"$96,627,980","$540,000,000"
Twitter,https://www.crunchbase.com/organization/twitter,"Media and Entertainment, Information Technology, Internet Services, Content and Publishing, Messaging and Telecommunications","San Francisco, California, United States",Twitter is a global social networking platform that allows its users to send and read 140-character messages known as “tweets.”,52,http://www.twitter.com/,Series Unknown,"$300,000,000","$1,460,166,511",-4.8,1001-5000,"Blogging Platforms, Messaging, SMS, Social Media",03/21/2006,IPO,12/20/2011,"$1,460,166,511","$24,565,826,402"
Razer,https://www.crunchbase.com/organization/razer,"Gaming, Platforms, Hardware, Consumer Electronics, Software, Mobile","Irvine, California, United States","Razer develops high-end precision gaming products by combining technology, ergonomics, and expert validation.",54,http://www.razerzone.com,Funding Round,"$50,000,000","$175,000,000",-1.9,501-1000,"Gaming, iOS, Consumer Electronics",06/27/2005,Operating,05/15/2017,"$175,000,000",
Coinbase,https://www.crunchbase.com/organization/coinbase,"Commerce and Shopping, Software, Payments, Financial Services","San Francisco, California, United States",Coinbase is a digital currency wallet service that allows traders to buy and sell bitcoin.,58,https://www.coinbase.com,Series D,"$100,000,000","$217,209,590",-2.4,101-250,"E-Commerce, Personal Finance, FinTech, Cryptocurrency, Bitcoin",06/01/2012,Operating,08/10/2017,"$217,209,590",
FireEye,https://www.crunchbase.com/organization/fireeye,"Information Technology, Software, Internet Services, Privacy and Security","Milpitas, California, United States",FireEye is a malware protection system that blocks attacks across web and email threat vectors and latent malware resident on file shares.,62,http://www.fireeye.com,Post-IPO Equity,"$739,265,776","$840,945,776",3.2,1001-5000,"Internet, Network Security, Security, Web Development",01/01/2004,IPO,01/10/2014,"$840,945,776","$2,349,416,980"
Warby Parker,https://www.crunchbase.com/organization/warby-parker,"Commerce and Shopping, Clothing and Apparel, Design","New York, New York, United States","BUY A PAIR, GIVE A PAIR For every pair of glasses purchased, WP provides a pair to someone in need.",71,http://www.warbyparker.com,Series D,"$100,000,000","$215,500,000",-0.2,,"E-Commerce, Retail, Fashion",01/01/2010,Operating,04/30/2015,"$215,000,000",
comScore,https://www.crunchbase.com/organization/comscore,Data and Analytics,"Reston, Virginia, United States","comScore is a cross-platform measurement company that measures audiences, brands, and consumer behavior.",73,http://www.comscore.com,Post-IPO Equity,"$300,000,000","$389,639,769",1.9,1001-5000,"Test and Measurement, Consumer",08/01/1999,IPO,12/24/2015,"$389,639,769",
Palo Alto Networks,https://www.crunchbase.com/organization/palo-alto-networks,"Information Technology, Privacy and Security","Santa Clara, California, United States",Palo Alto Networks produces hardware firewall products that take an app-centric method for traffic classification and enable app visibility.,75,http://www.paloaltonetworks.com,Series C,"$10,000,000","$65,000,000",-0.5,1001-5000,"Network Security, Cyber Security, Security",01/01/2005,IPO,11/03/2008,"$65,000,000","$2,797,260,648"
Skillz,https://www.crunchbase.com/organization/skillz,"Gaming, Sports, Mobile","San Francisco, California, United States",Mobile eSports leader. Connects world’s 2.6 billion mobile gamers via competition. #1 on Inc. 500. 1st eSports company on CNBC Disruptor 50.,76,http://www.skillz.com,Series B,"$15,000,000","$31,000,000",6.6,51-100,"Video Games, Mobile, eSports, Sports",04/01/2012,Operating,09/24/2015,"$31,000,000",
Klarna,https://www.crunchbase.com/organization/klarna,"Commerce and Shopping, Payments, Financial Services","Stockholm, Stockholms Lan, Sweden",Klarna provides e-commerce payment solutions for merchants and shoppers.,80,http://www.klarna.com,Private Equity,"$225,000,000","$636,846,585",-2.1,1001-5000,"Payments, FinTech, Financial Services, E-Commerce",02/01/2005,Operating,07/21/2017,"$601,443,112",
ServiceNow,https://www.crunchbase.com/organization/service-now-com,"Apps, Information Technology, Software, Internet Services","Santa Clara, California, United States","ServiceNow provides cloud-based solutions that define, structure, manage, and automate services for enterprise operations.",82,http://www.servicenow.com/,Private Equity,"$10,980,000","$83,703,892",-2.3,1001-5000,"IT Management, Enterprise Software, PaaS, SaaS, Enterprise Applications, Cloud Management",01/01/2004,IPO,03/20/2012,"$83,703,892","$2,165,215,860"
Duolingo,https://www.crunchbase.com/organization/duolingo,"Software, Education, Internet Services","Pittsburgh, Pennsylvania, United States",Duolingo is a free language education platform that gamifies every lessons available in over 20 languages.,83,https://www.duolingo.com,Series E,"$25,000,000","$108,300,000",3.1,51-100,"E-Learning, Education, Internet, Language Learning",01/01/2011,Operating,07/25/2017,"$108,300,000",
Nutanix,https://www.crunchbase.com/organization/nutanix,"Hardware, Information Technology, Software","San Jose, California, United States",Nutanix is a virtualized datacenter platform that provides disruptive datacenter infrastructure solutions for implementing enterprise-class.,86,http://www.nutanix.com,Series Unknown,"$6,506,044","$393,706,044",-1.5,5001-10000,"Virtualization, Data Center, Enterprise Software",01/01/2009,IPO,09/06/2016,"$318,706,044","$2,180,000,000"
AppNexus,https://www.crunchbase.com/organization/appnexus,"Sales and Marketing, Internet Services, Advertising","New York, New York, United States",AppNexus is a technology company whose cloud-based software platform enables and optimizes programmatic online advertising.,88,http://www.appnexus.com,Funding Round,"$31,000,000","$321,471,856",-0.2,1001-5000,"Advertising, Internet, Service Industry",09/01/2007,Operating,09/28/2016,"$321,471,856",
Pure Storage,https://www.crunchbase.com/organization/pure-storage,"Hardware, Software, Internet Services","Mountain View, California, United States",Pure Storage is an all-flash enterprise storage company that enables broad deployment of flash in data centers.,93,http://www.purestorage.com,Secondary Market,"$60,000,000","$530,856,468",3.4,,"Enterprise Software, Cloud Computing, Data Storage",09/01/2009,IPO,08/11/2014,"$530,000,000","$3,100,000,000"
Coursera,https://www.crunchbase.com/organization/coursera,"Software, Education, Internet Services","Mountain View, California, United States",Coursera is scaling a global platform to provide universal access to the world’s best education.,99,http://www.coursera.org,Series D,"$64,000,000","$210,100,000",-2.2,101-250,"Enterprise, EdTech, Education, Internet",01/01/2012,Operating,06/07/2017,"$210,100,000",
Atlassian,https://www.crunchbase.com/organization/atlassian,Software,"Sydney, New South Wales, Australia","Atlassian provides collaboration software for teams with products including JIRA, Confluence, HipChat, Bitbucket, and Stash.",100,http://www.atlassian.com,Secondary Market,"$150,000,000","$210,000,000",-1.3,1001-5000,"Enterprise Software, Collaboration, Developer Tools",01/01/2002,IPO,04/08/2014,"$210,000,000","$4,400,000,000"
Facebook,https://www.crunchbase.com/organization/facebook,"Media and Entertainment, Internet Services","Menlo Park, California, United States",Facebook is an online social networking service that enables its users to connect with friends and family as well as make new connections.,106,http://www.facebook.com,Private Equity,"$1,500,000,000","$2,335,700,000",-3.9,10001+,"Social Media, Social, Social Network",02/04/2004,IPO,01/21/2011,"$2,235,700,000","$104,000,000,000"
MuleSoft,https://www.crunchbase.com/organization/mulesoft,"Apps, Software, Financial Services","San Francisco, California, United States",MuleSoft is a provider of the leading platform for building application networks.,111,http://www.mulesoft.com,Series G,"$128,000,000","$259,000,000",-0.4,501-1000,"Apps, Developer APIs, Enterprise Software, FinTech",01/01/2006,IPO,05/19/2015,"$259,000,000","$2,900,000,000"
Color Genomics,https://www.crunchbase.com/organization/color-genomics,"Biotechnology, Science and Engineering, Data and Analytics, Software, Health Care, Artificial Intelligence, Design","Burlingame, California, United States",Color Genomics provides a service that helps people proactively manage their health through affordable and clinical-grade genetic data.,112,https://www.color.com,Series C,"$52,000,000","$150,548,112",8.6,51-100,"Machine Learning, Product Design, Biotechnology, Genetics",01/01/2013,Operating,08/16/2017,"$150,548,112",
Workday,https://www.crunchbase.com/organization/workday,"Software, Financial Services","Pleasanton, California, United States",Workday provides SaaS-based enterprise solutions for a company's human resources and financial management activities.,113,http://www.workday.com,Series F,"$85,000,000","$230,550,000",-0.9,501-1000,"Human Resources, Finance, FinTech, Web Development, SaaS, Enterprise Software",03/01/2005,IPO,10/24/2011,"$230,550,000","$4,500,000,000"
Cylance,https://www.crunchbase.com/organization/cylance,"Science and Engineering, Hardware, Information Technology, Consumer Electronics, Data and Analytics, Software, Privacy and Security, Artificial Intelligence","Irvine, California, United States",Cylance is a global provider of cybersecurity products and services to solve the world's most difficult security problems.,116,http://www.cylance.com,Series D,"$100,000,000","$177,000,000",-0.2,501-1000,"Artificial Intelligence, Computer, Cyber Security, Machine Learning",07/04/2012,Operating,06/08/2016,"$177,000,000",
Glassdoor,https://www.crunchbase.com/organization/glassdoor,"Media and Entertainment, Professional Services, Internet Services","Mill Valley, California, United States",Glassdoor is a jobs and recruiting marketplace that is changing how people search for jobs and how companies recruit top talent.,120,http://glassdoor.com,Series H,"$40,000,000","$204,500,000",-2.3,501-1000,"Recruiting, Social Media, Career Planning, Employment",06/01/2007,Operating,06/03/2016,"$204,500,000",
Funding Circle,https://www.crunchbase.com/organization/funding-circle,Financial Services,"London, England, United Kingdom","Funding Circle is a lending platform focused exclusively on small businesses operating in in the U.S., the U.K. and Continental Europe.",122,http://www.fundingcircle.com,Series F,"$100,000,000","$413,237,070",-2.2,501-1000,"FinTech, Personal Finance, Financial Services, Finance",08/13/2010,Operating,01/11/2017,"$373,237,070",
Evernote,https://www.crunchbase.com/organization/evernote,"Platforms, Information Technology, Software, Mobile","Redwood City, California, United States","Evernote is a suite of software and services that allow users to capture, organize, and find information across multiple platforms.",129,http://www.evernote.com,Series E,"$20,000,000","$290,000,000",-0.7,251-500,"iOS, Mobile, Information Technology, Information Services",02/29/2000,Operating,11/09/2014,"$290,000,000",
Zynga,https://www.crunchbase.com/organization/zynga,"Gaming, Mobile","San Francisco, California, United States","Zynga makes online social and mobile games. Four years after its founding, Zynga had grown to over $1 billion in revenue and IPO'd in 2011.",134,http://www.zynga.com,Series C,"$490,000,000","$866,550,786",-0.2,1001-5000,"Mobile, PC Games, Gaming",04/01/2007,IPO,02/18/2011,"$866,550,786","$6,990,000,000"
Zendesk,https://www.crunchbase.com/organization/zendesk,Software,"San Francisco, California, United States",Zendesk is a service platform that builds software to empower organization and customer relationships.,135,http://zendesk.com,Series Unknown,,"$85,500,000",-0.8,1001-5000,"SaaS, Customer Service, Enterprise Software",10/05/2007,IPO,05/15/2014,"$85,500,000","$632,000,000"
Ola,https://www.crunchbase.com/organization/ani-technologies,"Apps, Commerce and Shopping, Software, Transportation, Internet Services, Mobile","Bengaluru, Karnataka, India",Ola is a mobile app for cab booking in India.,145,http://www.olacabs.com,Private Equity,"$36,000,000","$1,752,942,518",-5.5,1001-5000,"Ride Sharing, Transportation, Mobile, Internet, E-Commerce, Apps",12/03/2010,Operating,08/11/2017,"$1,752,942,518",
Eventbrite,https://www.crunchbase.com/organization/eventbrite,"Media and Entertainment, Events, Internet Services","San Francisco, California, United States",Eventbrite is the world’s largest event technology platform which powers more than two million events around the globe each year.,146,http://www.eventbrite.com,Private Equity,"$60,000,000","$198,275,000",-1.2,251-500,"Events, Internet, Ticketing, Event Management",01/01/2006,Operating,03/13/2014,"$196,775,000",
SoundCloud,https://www.crunchbase.com/organization/soundcloud,"Apps, Media and Entertainment, Music and Audio, Software","Berlin, Germany, Europe",SoundCloud is a social sound platform where anyone can create and share sounds.,148,http://www.soundcloud.com/,Series F,"$169,500,000","$467,819,000",4.2,251-500,"Music, Independent Music, Apps",01/01/2007,Operating,08/11/2017,"$362,819,000",
DocuSign,https://www.crunchbase.com/organization/docusign,"Hardware, Information Technology, Consumer Electronics, Software, Sales and Marketing, Internet Services","San Francisco, California, United States","DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.",152,http://www.docusign.com,Series Unknown,,"$533,552,377",-3,1001-5000,"Digital Signage, Computer, Cloud Management",01/01/2003,Operating,06/01/2017,"$531,552,377",
Pandora,https://www.crunchbase.com/organization/pandora,"Media and Entertainment, Navigation and Mapping, Music and Audio, Video, Content and Publishing","Oakland, California, United States",Pandora provides internet radio and recommendation services.,155,http://pandora.com,Post-IPO Equity,"$480,000,000","$694,000,000",-4.6,1001-5000,"Navigation, Technical Support, Music, Broadcasting, Video Streaming",01/03/2000,IPO,06/09/2017,"$694,000,000","$2,555,643,072"
Hortonworks,https://www.crunchbase.com/organization/hortonworks,"Data and Analytics, Software","Santa Clara, California, United States",Hortonworks is a business computer software company focused on the development and support of Apache Hadoop.,159,http://www.hortonworks.com,Series D,"$50,000,000","$248,000,000",-0.6,,"Enterprise Software, Big Data, Software",06/01/2011,IPO,07/24/2014,"$248,000,000","$659,000,000"
Big Switch Networks,https://www.crunchbase.com/organization/big-switch-networks,"Hardware, Information Technology, Software, Privacy and Security","Santa Clara, California, United States","Big Switch Networks is the Next-Generation Data Center Networking Company, designing intelligent, agile and flexible networks",163,http://www.bigswitch.com,Funding Round,"$30,700,000","$119,500,000",6.9,101-250,"Data Center, Network Security, Software",01/01/2010,Operating,07/27/2017,"$119,500,000",
App Annie,https://www.crunchbase.com/organization/app-annie,"Data and Analytics, Mobile","San Francisco, California, United States",App Annie delivers data and insights to succeed in the app economy.,166,http://www.appannie.com,Series E,"$63,000,000","$156,000,000",-2,251-500,"Mobile, Big Data, Analytics",03/01/2010,Operating,01/13/2016,"$156,000,000",
Rovio Entertainment,https://www.crunchbase.com/organization/rovio-entertainment,"Gaming, Apps, Media and Entertainment, Software, Mobile","Espoo, Southern Finland, Finland","Rovio Entertainment is an entertainment media company that develops, publishes, and distributes video games.",171,http://www.rovio.com,Debt Financing,"€25,000,000","$76,075,497",4,501-1000,"Digital Entertainment, Gaming, Mobile Apps",01/01/2003,Operating,06/06/2014,"$42,000,000",
ClassPass,https://www.crunchbase.com/organization/classpass,"Apps, Software, Sports, Health Care","New York, New York, United States",ClassPass is the leading membership to the world’s largest fitness network.,174,http://classpass.com,Series C,"$70,000,000","$154,000,000",-1.6,101-250,"Fitness, Consumer Applications, Health Care, Subscription Service",01/01/2013,Operating,06/16/2017,"$154,000,000",
Vets First Choice,https://www.crunchbase.com/organization/vets-first-choice,"Commerce and Shopping, Health Care","Portland, Maine, United States",Vets First Choice provides veterinary practices with an online pharmacy and home delivery services.,178,http://www.vetsfirstchoice.com/,Funding Round,"$223,000,000","$285,800,000",9.1,,"E-Commerce, Pharmaceutical, Veterinary",01/01/2010,Operating,07/19/2017,"$285,800,000",
Blend,https://www.crunchbase.com/organization/blend-labs,"Real Estate, Financial Services","San Francisco, California, United States","Blend's technology empowers top mortgage lenders to be more efficient, compliant, and borrower-friendly.",179,https://www.blend.com,Series D,"$100,000,000","$160,000,000",8.3,101-250,"FinTech, Financial Services, Home Services, Enterprise",05/01/2012,Operating,08/24/2017,"$160,000,000",
Optimizely,https://www.crunchbase.com/organization/optimizely,"Data and Analytics, Software, Internet Services","San Francisco, California, United States",Optimizely is a experience optimization platform enabling A/B and multivariate testing for users to enhance their websites & mobile apps.,180,http://optimizely.com,Secondary Market,,"$146,200,000",1.9,251-500,"A/B Testing, Software, Personalization, Internet",12/01/2009,Operating,03/03/2017,"$146,200,000",
Sunrun,https://www.crunchbase.com/organization/sunrun,"Natural Resources, Energy, Sustainability","San Francisco, California, United States",Sunrun is a United States-based provider of residential solar electricity and solar power services for homeowners.,182,http://www.sunrun.com,Post-IPO Debt,"$33,000,000","$1,069,600,000",1.5,1001-5000,"Clean Energy, Solar, Renewable Energy",01/01/2007,IPO,07/26/2016,"$295,000,000","$1,400,000,000"
Rent the Runway,https://www.crunchbase.com/organization/rent-the-runway,"Commerce and Shopping, Clothing and Apparel, Design","New York, New York, United States",Rent the Runway is an online e-commerce website that allows women to rent designer apparel and accessories.,183,http://www.renttherunway.com,Series E,"$60,000,000","$176,150,000",4.4,251-500,"Fashion, E-Commerce, Retail",11/09/2009,Operating,12/27/2016,"$176,150,000",
Airbnb,https://www.crunchbase.com/organization/airbnb,"Travel and Tourism, Commerce and Shopping","San Francisco, California, United States","Airbnb is an online community marketplace for people to list, discover, and book accommodations around the world.",188,http://airbnb.com,Series F,"$447,800,000","$4,398,082,100",-2.7,1001-5000,"Hospitality, Sharing Economy, Marketplace, Travel Accommodations, Travel",08/11/2008,Operating,03/09/2017,"$3,398,082,100",
New Relic,https://www.crunchbase.com/organization/new-relic,"Information Technology, Data and Analytics, Software, Internet Services, Mobile","San Francisco, California, United States","New Relic is a leading digital intelligence company, delivering full-stack visibility and analytics to enterprises around the world.",191,http://newrelic.com,Private Equity,"$100,000,000","$214,500,000",0.7,1001-5000,"Software, Cloud Computing, SaaS, Analytics, Mobile, Application Performance Management, IT Infrastructure",02/01/2008,IPO,04/28/2014,"$214,500,000","$1,420,000,000"
IFTTT,https://www.crunchbase.com/organization/if-this-then-that,"Information Technology, Internet Services","San Francisco, California, United States",IFTTT empowers people to do more with the services they love.,199,https://ifttt.com,Series B,"$30,000,000","$38,500,000",-0.7,11-50,"Information Services, Information Technology, Internet",12/14/2010,Operating,08/29/2014,"$38,500,000",
InMobi,https://www.crunchbase.com/organization/inmobi,"Sales and Marketing, Mobile, Advertising","Bangalore, Karnataka, India","InMobi is a mobile-first platform allowing brands, developers and publishers to engage consumers through mobile advertising.",204,http://www.inmobi.com,Debt Financing,"$100,000,000","$320,600,000",1.1,501-1000,"Marketing, Mobile, Advertising, Advertising Platforms",01/01/2007,Operating,09/29/2015,"$220,600,000",
AltspaceVR,https://www.crunchbase.com/organization/qualia3d,"Hardware, Media and Entertainment, Information Technology, Software","Redwood City, California, United States",AltspaceVR is a virtual reality software company.,206,http://altvr.com/,Series A,"$10,300,000","$15,700,000",8.2,11-50,"Virtualization, Virtual Reality, Digital Media",01/01/2013,Operating,07/29/2015,"$15,700,000",
Wealthfront,https://www.crunchbase.com/organization/wealthfront,"Financial Services, Lending and Investments","Redwood City, California, United States","Wealthfront is the largest and fastest growing automated investment service, with over $2 billion in assets under management.",210,http://wealthfront.com,Series D,"$64,000,000","$129,500,000",-1.3,11-50,"FinTech, Financial Services, Stock Exchanges, Wealth Management, Finance, Personal Finance",01/01/2008,Operating,10/27/2014,"$129,500,000",
Tintri,https://www.crunchbase.com/organization/tintri,"Hardware, Information Technology, Software, Internet Services","Mountain View, California, United States",Tintri Enterprise Cloud puts the agility of public cloud in an organization's data center.,214,http://www.tintri.com,Secondary Market,,"$262,212,358",-1.5,501-1000,"Cloud Computing, Data Center, Hardware, Flash Storage, Cloud Data Services, Virtualization, Enterprise Software",01/01/2008,IPO,01/31/2017,"$262,212,358","$216,370,000"
Silver Peak,https://www.crunchbase.com/organization/silver-peak,"Hardware, Information Technology, Software, Internet Services","Santa Clara, California, United States",Silver Peak is a technology company that builds high-performance hybrid WAN and SD-WAN software products,216,https://www.silver-peak.com,Debt Financing,"$3,779,130","$85,946,467",4.2,251-500,"Software, Cloud Infrastructure, Network Hardware, Infrastructure, Virtualization",01/01/2004,Operating,09/03/2015,"$75,113,967",
Leap Motion,https://www.crunchbase.com/organization/leap-motion,"Hardware, Software","San Francisco, California, United States",Leap Motion is a software and hardware company developing 3D motion-control technology for virtual reality and additional platforms.,218,http://www.leapmotion.com,Series C,"$50,000,000","$94,050,000",2.8,51-100,"Software, Hardware, Augmented Reality",10/01/2010,Operating,07/17/2017,"$94,050,000",
Qualtrics,https://www.crunchbase.com/organization/qualtrics,"Data and Analytics, Design","Provo, Utah, United States","Qualtrics is a single system of record for all experience data, managing customer, product, employee and brand experiences on one platform.",219,http://www.qualtrics.com,Series C,"$180,000,000","$400,000,000",-0.8,1001-5000,"SaaS, Market Research, Consumer",01/01/2002,Operating,04/12/2017,"$400,000,000",
Unity Technologies,https://www.crunchbase.com/organization/unity-technologies,"Gaming, Science and Engineering, Hardware, Media and Entertainment, Software","San Francisco, California, United States","Unity Technologies is the creator of Unity, a high-performance end-to-end development platform that creates rich interactive experiences.",223,http://unity3d.com,Private Equity,"$400,000,000","$689,196,700",-3,1001-5000,"Content, Enterprise Software, Virtual Reality, Embedded Systems, Video Games, 3D Technology",08/08/2004,Operating,05/24/2017,"$689,196,700",
