,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
15,Uber,33076,"Uber, Microsoft, Google, Apple, Amazon","University of California Berkeley, Stanford University, Carnegie Mellon University, University of California Los Angeles, University of Illinois at Urbana-Champaign","Apps, Software, Transportation, Mobile","San Francisco, California, United States",12,Funding Round,,11562450000,1.2,"Transportation, Public Transportation, Mobile Apps, Ride Sharing",03/01/2009,Operating,04/19/2017,8812450000,0.58,8812.45,1.484
17,DJI,816,"DJI, Sony, Samsung Electronics, Microsoft, Crossbow Technology, Inc","The Hong Kong University of Science and Technology, University of California Berkeley, Sun Yat-Sen University, Wuhan University, UC Irvine","Manufacturing, Science and Engineering, Hardware, Consumer Electronics, Mobile","Shenzhen, Guangdong, China",20,Series B,"$75,000,000",105000000,3.2,"Manufacturing, Wireless, Consumer Electronics, Aerospace",11/06/2006,Operating,05/05/2015,105000000,2.54,105,0.84
21,Flipkart,13806,"Flipkart, Amazon, Yahoo! Inc., Infosys, Tata Consultancy Services","Kendriya Vidyalaya, Delhi University, Bangalore University, Birla Institute of Technology and Science, Pilani, University of Mumbai","Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design","Bangalore, Karnataka, India",28,Secondary Market,"$1,000,000,000",7122140000,-2.9,"E-Commerce, Shopping, Fashion, Retail, Lifestyle",09/01/2007,Operating,08/10/2017,7122140000,0.27,7122.14,1.006
24,WeWork,2463,"WeWork, Apple, Abercrombie & Fitch, Starwood Hotels & Resorts Worldwide Inc., American Express","New York University, Cornell University, Syracuse University, General Assembly, Penn State University",Real Estate,"Beijing, Beijing, China",16554,Series A,"$500,000,000",500000000,,"Collaboration, Real Estate, Coworking",07/01/2017,Operating,07/27/2017,500000000,0.31,500,0.912
25,Databricks,223,"Microsoft, Google, Databricks, IBM, Axway","University of California Berkeley, Stanford University, University of Southern California, Peking University, Princeton University","Data and Analytics, Software","San Francisco, California, United States",35,Series D,"$140,000,000",247000000,8.5,"Analytics, Enterprise Software, Open Source",01/01/2013,Operating,08/22/2017,247000000,0.24,247,1.243
26,ThoughtSpot,220,"IBM, ThoughtSpot, Oracle, Google, Stanford University","Stanford University, San Jose State University, University of California Berkeley, Indian Institute of Technology Guwahati, Indian Institute of Technology Kanpur","Data and Analytics, Software","Palo Alto, California, United States",36,Series C,"$60,000,000",150700000,9.5,"Business Intelligence, Enterprise Software, Big Data, Analytics",06/01/2012,Operating,08/17/2017,150700000,0.25,150.7,1.352
28,Hyperloop One,312,"Hyperloop One, SpaceX, Cisco, Northrop Grumman, RBC Bearings","University of Southern California, Stanford University, UC Irvine, California State University Northridge, California State Polytechnic University-Pomona","Science and Engineering, Data and Analytics, Software, Financial Services, Lending and Investments, Artificial Intelligence","Sydney, New South Wales, Australia",50050,Series A,"$16,000,000",13644766,2.5,"FinTech, Banking, Artificial Intelligence, Analytics, Software",02/01/2016,Operating,08/21/2017,13644766,0.24,13.645,1.048
30,Impossible Foods,192,"Impossible Foods, University of California, Davis, University of California, Santa Barbara, Target, Codexis Inc.","University of California Berkeley, University of California Davis, San Jose State University, Stanford University Graduate School of Business, University of California Santa Barbara","Food and Beverage, Health Care","Redwood City, California, United States",44,Convertible Note,"$75,000,000",273500000,8.6,"Food and Beverage, Food Processing, Nutrition",01/01/2011,Operating,08/01/2017,257000000,0.3,257,1.243
31,Lyft,8321,"Lyft, Google, US Army, US Navy, Walmart","University of Phoenix, University of California Berkeley, San Francisco State University, Stanford University, Arizona State University","Apps, Software, Transportation, Mobile","San Francisco, California, United States",45,Series G,"$600,000,000",2612500000,5.4,"Transportation, Ride Sharing, Mobile Apps, Peer to Peer",01/01/2007,Operating,04/11/2017,2612500000,0.6,2612.5,0.971
32,Outbrain,640,"Outbrain, Microsoft, Israel Defense Forces, Yahoo! Inc., IDF","Tel Aviv University, Technion - Israel Institute of Technology, Ben-Gurion University of the Negev, IDC Herzliya, The Hebrew University of Jerusalem","Media and Entertainment, Sales and Marketing, Internet Services, Content and Publishing","New York, New York, United States",47,Private Equity,"$45,000,000",194000000,5.5,"Internet, Content Discovery, Digital Marketing, Content Marketing",01/01/2006,Operating,05/10/2016,194000000,1.52,194,0.883
33,TuneIn,232,"TuneIn, iHeartMedia, Sirius XM Radio Inc., CBS Interactive, Morgan Stanley","San Francisco State University, University of California Berkeley, University of Southern California, Stanford University, Massachusetts Institute of Technology","Media and Entertainment, Music and Audio, Content and Publishing, Mobile","San Francisco, California, United States",48,Series Unknown,"$50,000,000",103122231,6.9,"Mobile, Music, Internet Radio, News",01/01/2002,Operating,08/11/2017,103122231,0.27,103.122,0.901
37,Razer,695,"Razer Inc., Microsoft, Dell, Apple, Nextbit Systems","National University of Singapore, Nanyang Technological University, Singapore Polytechnic, Temasek Polytechnic, California State University Fullerton","Commerce and Shopping, Health Care, Mobile","San Francisco, California, United States",2118,Series B,"$13,000,000",24500000,-1.7,"Mobile, Marketplace, E-Commerce, Health Care",07/29/2014,Operating,10/24/2016,24500000,1.07,24.5,0.891
38,Coinbase,183,"Coinbase, Bain & Company, Google, Guidewire Software, Facebook","University of California Berkeley, Duke University, UC Irvine, Colorado State University, Santa Clara University","Commerce and Shopping, Software, Payments, Financial Services","San Francisco, California, United States",58,Series D,"$100,000,000",217209590,-2.4,"E-Commerce, Personal Finance, FinTech, Cryptocurrency, Bitcoin",06/01/2012,Operating,08/10/2017,217209590,0.27,217.21,1.242
41,FireEye,2721,"FireEye Inc., Symantec, Cisco, McAfee, IBM","San Jose State University, George Mason University, University College Cork, University of Pune, Cork Institute of Technology","Real Estate, Administrative Services","San Francisco, California, United States",45254,Seed,"$4,099,999",4099999,,"Housekeeping Service, Home Improvement, Home Services",01/01/2016,Operating,06/15/2017,4099999,0.42,4.1,0.898
42,Warby Parker,775,"Warby Parker, Anthropologie, Apple, Urban Outfitters, Lenscrafters","Fashion Institute of Technology, Belmont University, New York University, Baruch College, The Wharton School","Commerce and Shopping, Clothing and Apparel, Design","New York, New York, United States",71,Series D,"$100,000,000",215500000,-0.2,"E-Commerce, Retail, Fashion",01/01/2010,Operating,04/30/2015,215000000,2.55,215,0.843
45,Klarna,1270,"Klarna, Ericsson, American Express, SEB, Nordnet Bank AB","Stockholm University, KTH Royal Institute of Technology, Uppsala University, Linköping University, Lund University","Commerce and Shopping, Payments, Financial Services","Stockholm, Stockholms Lan, Sweden",80,Private Equity,"$225,000,000",636846585,-2.1,"Payments, FinTech, Financial Services, E-Commerce",02/01/2005,Operating,07/21/2017,601443112,0.33,601.443,0.915
47,Duolingo,224,"Carnegie Mellon University, Duolingo, Google, Microsoft, University of Pittsburgh","Carnegie Mellon University, University of Pittsburgh, Massachusetts Institute of Technology, Concordia University, Universidad del Valle de Guatemala","Software, Education, Internet Services","Pittsburgh, Pennsylvania, United States",83,Series E,"$25,000,000",108300000,3.1,"E-Learning, Education, Internet, Language Learning",01/01/2011,Operating,07/25/2017,108300000,0.32,108.3,1.163
50,AppNexus,1008,"AppNexus, 24/7 Media Inc., Microsoft, Xaxis, IBM","Columbia University in the City of New York, New York University, Princeton University, Brown University, Cornell University","Biotechnology, Science and Engineering, Data and Analytics, Software, Health Care, Internet Services","Mountain View, California, United States",3611,Series D,"$15,000,000",46550000,-0.5,"Genetics, Medical, Bioinformatics, Biotechnology, Cloud Computing",01/01/2009,Operating,04/22/2015,46550000,2.58,46.55,1.1
52,Coursera,930,"Coursera, Google, Microsoft, Stanford University, LinkedIn","Stanford University, University of California Berkeley, Coursera, The Johns Hopkins University, University of Washington","Software, Education, Internet Services","Mountain View, California, United States",99,Series D,"$64,000,000",210100000,-2.2,"Enterprise, EdTech, Education, Internet",01/01/2012,Operating,06/07/2017,210100000,0.45,210.1,1.354
56,Color Genomics,123,"Twitter, Google, University of California, Davis, Genomic Health, Genoptix Inc.","Stanford University, University of California Berkeley, Massachusetts Institute of Technology, University of California Davis, University of California Los Angeles","Biotechnology, Science and Engineering, Data and Analytics, Software, Health Care, Artificial Intelligence, Design","Burlingame, California, United States",112,Series C,"$52,000,000",150548112,8.6,"Machine Learning, Product Design, Biotechnology, Genetics",01/01/2013,Operating,08/16/2017,150548112,0.25,150.548,1.352
58,Cylance,783,"McAfee, Cylance Inc., Symantec, Intel Corporation, FireEye Inc.","UC Irvine, California State University Fullerton, University of California Los Angeles, The University of Texas at Austin, California State University-Long Beach","Science and Engineering, Hardware, Information Technology, Consumer Electronics, Data and Analytics, Software, Privacy and Security, Artificial Intelligence","Irvine, California, United States",116,Series D,"$100,000,000",177000000,-0.2,"Artificial Intelligence, Computer, Cyber Security, Machine Learning",07/04/2012,Operating,06/08/2016,177000000,1.44,177,0.885
59,Glassdoor,894,"Glassdoor, CareerBuilder, Groupon, Ask.com, Microsoft","University of California Berkeley, San Francisco State University, Purdue University, University of Illinois at Urbana-Champaign, Santa Rosa Junior College","Media and Entertainment, Professional Services, Internet Services","Mill Valley, California, United States",120,Series H,"$40,000,000",204500000,-2.3,"Recruiting, Social Media, Career Planning, Employment",06/01/2007,Operating,06/03/2016,204500000,1.46,204.5,1.223
60,Funding Circle,225,"Funding Circle US, LendingClub, Funding Circle UK, J.P. Morgan, American Express","University of California Berkeley, San Francisco State University, University of California Davis, University of California Santa Barbara, University of San Francisco",Financial Services,"London, England, United Kingdom",122,Series F,"$100,000,000",413237070,-2.2,"FinTech, Personal Finance, Financial Services, Finance",08/13/2010,Operating,01/11/2017,373237070,0.85,373.237,1.242
61,Evernote,450,"Evernote, Apple, Google, Yahoo! Inc., Microsoft","University of California Berkeley, Stanford University, The University of Texas at Austin, University of California Los Angeles, San Jose State University","Platforms, Information Technology, Software, Mobile","Redwood City, California, United States",129,Series E,"$20,000,000",290000000,-0.7,"iOS, Mobile, Information Technology, Information Services",02/29/2000,Operating,11/09/2014,290000000,3.02,290,1.167
64,Zendesk,1935,"Zendesk, Salesforce, Oracle, Apple, Microsoft","University of Wisconsin-Madison, University of California Berkeley, Madison Area Technical College, San Francisco State University, University College Dublin","Data and Analytics, Transportation, Internet Services, Mobile","San Francisco, California, United States",29291,Series A,"$13,500,000",20000000,-1.2,"Automotive, Mobile, Autonomous Vehicles, Internet, Big Data",01/01/2013,Operating,02/06/2016,20000000,1.78,20,0.869
65,Ola,235,"Made Foods Inc, Jindal Intellicom Limited, Gilbane Building Company, P G Patki Architects, GSC Architects","The University of Lethbridge, Bangalore University, University of Mumbai, Uttar Pradesh Technical University, University of Arizona","Apps, Commerce and Shopping, Software, Transportation, Internet Services, Mobile","Bengaluru, Karnataka, India",145,Private Equity,"$36,000,000",1752942518,-5.5,"Ride Sharing, Transportation, Mobile, Internet, E-Commerce, Apps",12/03/2010,Operating,08/11/2017,1752942518,0.27,1752.943,0.948
66,Eventbrite,657,"Eventbrite, ticketscript by Eventbrite, Dell, Ticketmaster, Belatrix Software","Middle Tennessee State University (MTSU), University of California Berkeley, University of San Francisco, Belmont University, Universidad Tecnológica Nacional","Media and Entertainment, Events, Internet Services","San Francisco, California, United States",146,Private Equity,"$60,000,000",198275000,-1.2,"Events, Internet, Ticketing, Event Management",01/01/2006,Operating,03/13/2014,196775000,3.68,196.775,0.811
67,SoundCloud,800,"SoundCloud, Sony Music Entertainment, Google, BBC, Warner Music Group","University of California Berkeley, Technische Universität Berlin, New York University, Freie Universität Berlin, Stanford University","Apps, Media and Entertainment, Music and Audio, Software","Berlin, Germany, Europe",148,Series F,"$169,500,000",467819000,4.2,"Music, Independent Music, Apps",01/01/2007,Operating,08/11/2017,362819000,0.27,362.819,1.246
68,DocuSign,2325,"DocuSign, Microsoft, Oracle, Salesforce, SAP","University of Washington, Washington State University, Western Washington University, University of California Berkeley, University of Washington - Michael G. Foster School of Business","Hardware, Information Technology, Consumer Electronics, Software, Sales and Marketing, Internet Services","San Francisco, California, United States",152,Series Unknown,,533552377,-3,"Digital Signage, Computer, Cloud Management",01/01/2003,Operating,06/01/2017,531552377,0.46,531.552,0.913
70,Pandora,2708,"Pandora, Yahoo! Inc., iHeartMedia, CBS Radio, Rdio","University of California Berkeley, San Francisco State University, Stanford University, University of California Davis, New York University","Privacy and Security, Mobile","San Francisco, California, United States",31685,Series C,"$27,500,000",53500000,-3.1,"Security, SaaS, Mobile",01/01/2012,Operating,05/18/2017,53500000,0.5,53.5,1.236
72,Big Switch Networks,155,"Cisco, Juniper Networks, Gigamon, Brocade, VMware","Stanford University, San Jose State University, University of Mumbai, San Francisco State University, Wichita State University","Hardware, Information Technology, Software, Privacy and Security","Santa Clara, California, United States",163,Funding Round,"$30,700,000",119500000,6.9,"Data Center, Network Security, Software",01/01/2010,Operating,07/27/2017,119500000,0.31,119.5,1.351
73,App Annie,584,"App Annie, Google, GfK, IBM, Mobidia","University of California Berkeley, San Francisco State University, Stanford University, The Wharton School, San Jose State University","Data and Analytics, Mobile","San Francisco, California, United States",166,Series E,"$63,000,000",156000000,-2,"Mobile, Big Data, Analytics",03/01/2010,Operating,01/13/2016,156000000,1.85,156,1.207
75,Rovio Entertainment,473,"Rovio Entertainment Ltd., Nokia, Digital Chocolate, Sulake, RealNetworks","Aalto University, University of Helsinki, Teknillinen korkeakoulu-Tekniska högskolan, Metropolia Ammattikorkeakoulu - Helsinki Metropolia University of Applied Sciences, Haaga-Helia University of Applied Sciences","Media and Entertainment, Clothing and Apparel, Design","Beijing, Beijing, China",28476,Series C,"$55,800,000",55800000,2.1,"Fashion, Digital Media, Digital Entertainment",01/01/2000,Operating,02/01/2014,55800000,3.79,55.8,0.805
76,ClassPass,248,"ClassPass, Viacom, Bain & Company, Yelp, Sony Online Entertainment","New York University, University of California Berkeley, Brown University, Harvard University, Columbia University in the City of New York","Apps, Software, Sports, Health Care","New York, New York, United States",174,Series C,"$70,000,000",154000000,-1.6,"Fitness, Consumer Applications, Health Care, Subscription Service",01/01/2013,Operating,06/16/2017,154000000,0.42,154,0.902
77,Vets First Choice,221,"Vets First Choice, IDEXX, L.L.Bean, Nationwide Payments, Unum","University of Southern Maine, University of Maine, Kansas State University, Northeastern University, University of New England","Commerce and Shopping, Health Care","Portland, Maine, United States",178,Funding Round,"$223,000,000",285800000,9.1,"E-Commerce, Pharmaceutical, Veterinary",01/01/2010,Operating,07/19/2017,285800000,0.33,285.8,0.906
79,Rent the Runway,466,"Rent The Runway, Macy's, Bloomingdale's, SoulCycle Inc., Lord & Taylor","New York University, Montclair State University, Columbia University in the City of New York, Fashion Institute of Technology, University of Pennsylvania","Commerce and Shopping, Clothing and Apparel, Design","New York, New York, United States",183,Series E,"$60,000,000",176150000,4.4,"Fashion, E-Commerce, Retail",11/09/2009,Operating,12/27/2016,176150000,0.89,176.15,0.899
80,Airbnb,6213,"Airbnb, Google, Facebook, Microsoft, Apple","University of California Berkeley, Stanford University, Carnegie Mellon University, San Francisco State University, University of California Los Angeles","Travel and Tourism, Commerce and Shopping","San Francisco, California, United States",188,Series F,"$447,800,000",4398082100,-2.7,"Hospitality, Sharing Economy, Marketplace, Travel Accommodations, Travel",08/11/2008,Operating,03/09/2017,3398082100,0.69,3398.082,1.33
82,IFTTT,44,"IFTTT, Google, Apple, StepOut, Twitter","University of California Berkeley, New York University, Universidade Federal de Santa Catarina, General Assembly, Udacity","Information Technology, Internet Services","San Francisco, California, United States",199,Series B,"$30,000,000",38500000,-0.7,"Information Services, Information Technology, Internet",12/14/2010,Operating,08/29/2014,38500000,3.22,38.5,1.154
83,InMobi,1088,"InMobi, Yahoo! Inc., Google, Wipro Limited, IBM","Birla Institute of Technology and Science, Pilani, Indian School of Business, Kendriya Vidyalaya, Vellore Institute of Technology, Indian Institute of Management Bangalore","Sales and Marketing, Mobile, Advertising","Bangalore, Karnataka, India",204,Debt Financing,"$100,000,000",320600000,1.1,"Marketing, Mobile, Advertising, Advertising Platforms",01/01/2007,Operating,09/29/2015,220600000,2.14,220.6,0.766
84,AltspaceVR,25,"Adobe, Microsoft, HTC, Rising Tide Games, Storm8","Santa Clara University, Stanford University, Stanford University Graduate School of Business, University of Southern California, The University of British Columbia","Hardware, Media and Entertainment, Information Technology, Software","Redwood City, California, United States",206,Series A,"$10,300,000",15700000,8.2,"Virtualization, Virtual Reality, Digital Media",01/01/2013,Operating,07/29/2015,15700000,2.31,15.7,0.847
85,Wealthfront,164,"Wealthfront Inc., Stanford University, Goldman Sachs, Apple, Twitter","Stanford University, University of California Berkeley, Harvard University, University of Pennsylvania, California Polytechnic State University-San Luis Obispo","Financial Services, Lending and Investments","Redwood City, California, United States",210,Series D,"$64,000,000",129500000,-1.3,"FinTech, Financial Services, Stock Exchanges, Wealth Management, Finance, Personal Finance",01/01/2008,Operating,10/27/2014,129500000,3.06,129.5,1.274
87,Silver Peak,241,"Cisco, Silver Peak, Brocade, Dell, Hewlett Packard Enterprise","San Jose State University, Santa Clara University, Stanford University, R. V. College of Engineering, Bangalore, Michigan State University","Hardware, Information Technology, Software, Internet Services","Santa Clara, California, United States",216,Debt Financing,"$3,779,130",85946467,4.2,"Software, Cloud Infrastructure, Network Hardware, Infrastructure, Virtualization",01/01/2004,Operating,09/03/2015,75113967,2.21,75.114,0.759
88,Leap Motion,68,"Leap Motion, Electronic Arts (EA), ABC News, Tesla, OnLive","California Polytechnic State University-San Luis Obispo, University of Florida, University of Massachusetts Lowell, University of Waterloo, Santa Clara University","Hardware, Software","San Francisco, California, United States",218,Series C,"$50,000,000",94050000,2.8,"Software, Hardware, Augmented Reality",10/01/2010,Operating,07/17/2017,94050000,0.34,94.05,0.901
89,Qualtrics,1486,"Qualtrics, Brigham Young University, Microsoft, Oracle, The Church of Jesus Christ of Latter-day Saints","Brigham Young University, Utah Valley University, University of Utah, Utah State University, Brigham Young University - Idaho","Data and Analytics, Design","Provo, Utah, United States",219,Series C,"$180,000,000",400000000,-0.8,"SaaS, Market Research, Consumer",01/01/2002,Operating,04/12/2017,400000000,0.6,400,0.908
91,Unity Technologies,1524,"Unity Technologies, Microsoft, Electronic Arts (EA), Ubisoft, Autodesk","Copenhagen Business School, University of Helsinki, Københavns Universitet, University of California Berkeley, IT-Universitetet i København","Data and Analytics, Software, Payments, Financial Services","Gurgaon, Haryana, India",6513,Series B,"$10,000,000",10000000,-0.6,"FinTech, Transaction Processing, Business Intelligence",05/01/2015,Operating,12/13/2016,10000000,0.93,10,0.893
92,MongoDB,919,"MongoDB, Oracle, IBM, BMC Software, Google","New York University, Brown University, Columbia University in the City of New York, Rutgers University, Cornell University","Data and Analytics, Software, Internet Services","New York, New York, United States",233,Series Unknown,,303400000,-2.8,"Open Source, PaaS, Cloud Computing, Database",11/01/2007,Operating,08/18/2015,303400000,2.25,303.4,0.857
93,Vox Media,24,"Vox Media, etv productions, Smyle, Guardian News & Media, Future plc","Wake Technical Community College, University of the Arts London, Boston University, Kent State University, De Montfort University","Media and Entertainment, Sports, Internet Services, Advertising","Washington, District of Columbia, United States",237,Series F,"$200,000,000",307632220,-2.2,"Internet, Digital Media, Sports, Advertising Platforms",01/01/2003,Operating,08/12/2015,307632220,2.27,307.632,0.857
94,Kabbage,373,"Kabbage, Inc, Atlanticus, The Home Depot, GE, Cbeyond - now a Birch Company","Georgia Institute of Technology, Georgia State University, The University of Georgia, Kennesaw State University, Indian Institute of Technology Delhi","Financial Services, Lending and Investments","Atlanta, Georgia, United States",240,Series F,"$250,000,000",1350363500,1.7,"FinTech, Credit, Lending, Finance",02/12/2009,Operating,08/03/2017,488650000,0.29,488.65,1.062
95,Artsy,225,"Artsy, Christie's, Sotheby's, New York University, The Metropolitan Museum of Art","New York University, Columbia University in the City of New York, Princeton University, Hunter College, Brown University","Media and Entertainment, Internet Services, Content and Publishing","New York, New York, United States",244,Series D,"$50,000,000",100880053,4.6,"Art, Internet, Content Discovery",01/01/2009,Operating,07/18/2017,100880053,0.33,100.88,0.901
97,Kaminario,215,"Kaminario, Dell EMC, Hewlett Packard Enterprise, Israel Defense Forces, NetApp","Technion - Israel Institute of Technology, University of Haifa, The Hebrew University of Jerusalem, Ben-Gurion University of the Negev, Tel Aviv University","Hardware, Software","Needham, Massachusetts, United States",252,Series F,"$75,000,000",224500000,6.2,"Enterprise Software, Flash Storage, SaaS",01/01/2010,Operating,01/10/2017,224500000,0.85,224.5,0.901
98,Shazam,348,"Shazam, Yahoo! Inc., Sony Music Entertainment, Stanford University, Viacom","Stanford University, Imperial College London, University of Westminster, San Jose State University, Loughborough University","Platforms, Media and Entertainment, Music and Audio, Software, Internet Services, Mobile","New York, New York, United States",256,Series F,"$30,000,000",143500000,-0.1,"Android, Ediscovery, iOS, Music",01/01/2000,Operating,02/26/2015,143500000,2.73,143.5,1.285
99,Automattic,534,"Automattic, WooThemes, Voce Communications, Lockheed Martin, Hetzner (Pty) Ltd","University of North Carolina at Chapel Hill, The University of Texas at Austin, University of California Los Angeles, University of California Berkeley, University of San Francisco","Media and Entertainment, Internet Services, Content and Publishing","San Francisco, California, United States",259,Series C,"$160,000,000",317300000,-0.4,"Content, Blogging Platforms, Internet",07/01/2005,Operating,05/05/2014,317300000,3.54,317.3,0.817
100,Pinterest,1639,"Google, Pinterest, Facebook, Microsoft, Yahoo! Inc.","Stanford University, University of California Berkeley, Weber State University, Carnegie Mellon University, The University of Texas at Austin","Travel and Tourism, Media and Entertainment, Internet Services","San Francisco, California, United States",266,Funding Round,"$150,000,000",1466100000,-7.6,"Social Media, Social Bookmarking, Travel",01/01/2009,Operating,06/06/2017,1466100000,0.45,1466.1,1.397
101,Houzz,1922,"Houzz, Nordstrom, Enterprise Rent-A-Car, Microsoft, Apple","California State University Fullerton, San Diego State University, Arizona State University, California State University-Long Beach, University of Arizona","Real Estate, Design","Palo Alto, California, United States",272,Series E,"$400,000,000",613600000,-3.7,"Home Improvement, Home Renovation, Interior Design, Architecture",01/01/2009,Operating,06/09/2017,613600000,0.44,613.6,0.915
102,Blockchain,154,"Blockchain, JUST EAT, Google, US Navy, Goldman Sachs","Universitat Autònoma de Barcelona, Copenhagen Business School, UCL, Newcastle University, General Assembly","Software, Payments, Financial Services","London, England, United Kingdom",277,Series B,"$40,000,000",70000000,-2,"FinTech, Finance, Web Development, Bitcoin",08/01/2011,Operating,06/22/2017,70000000,0.41,70,0.9
104,Actifio,355,"Dell EMC, Actifio, IBM, Hewlett Packard Enterprise, Symantec","University of Massachusetts Lowell, Worcester Polytechnic Institute, Jawaharlal Nehru Technological University, Northeastern University, Tufts University","Hardware, Information Technology, Software","Waltham, Massachusetts, United States",279,Series E,"$100,000,000",211500000,4.4,"Enterprise Software, Information Technology, Virtualization, Information Services",07/01/2009,Operating,03/23/2014,211500000,3.66,211.5,0.812
105,BookMyShow,995,"BookMyShow, Bigtree Entertainment Pvt.Ltd., Bennett Coleman and Co. Ltd. (Times Group), Media.net, Infosys","University of Mumbai, Welingkar Institute of Management, SVKM's Narsee Monjee Institute of Management Studies (NMIMS), Mithibai College, University of Pune","Commerce and Shopping, Media and Entertainment, Events","Mumbai, Maharashtra, India",281,Series C,"$81,500,000",124500000,0.3,"Online Auctions, Media and Entertainment, Digital Entertainment, Ticketing",01/01/1999,Operating,07/05/2016,124500000,1.37,124.5,0.886
106,Rocket Lab,59,"Rocket Lab USA, SpaceX, Marine Corps Recruiting, LanzaTech, Boeing","University of Canterbury, Massey University, The University of Auckland, Sapienza Università di Roma, Auckland University of Technology","Manufacturing, Science and Engineering, Hardware, Consumer Electronics","Los Angeles, California, United States",290,Series D,"$75,000,000",75000000,-1.6,"Aerospace, Industrial Manufacturing, Electronics",01/01/2006,Operating,03/21/2017,75000000,0.66,75,0.898
