Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Website,Last Funding Type,Last Funding Amount,Total Funding Amount,Trend Score (90 Days),Number of Employees,Categories,Founded Date,Status,Last Funding Date
Zomato,https://www.crunchbase.com/organization/zomato,"Apps, Travel and Tourism, Food and Beverage, Software, Internet Services","Gurgaon, Haryana, India",Zomato is an online & mobile restaurant search & discovery service providing in-depth information for over 1.4m restaurants in 23 countries.,36,https://www.zomato.com/,Series H,"$20,000,000","$243,800,000",-0.1,1001-5000,"Hospitality, Search Engine, Restaurants, Apps",07/10/2008,Operating,04/27/2017
AngelList,https://www.crunchbase.com/organization/angellist,"Professional Services, Financial Services","San Francisco, California, United States","AngelList is a U.S. website for startups, angel investors, and job-seekers looking to work at startups.",37,http://angel.co,Series B,"$24,000,000","$24,100,000",3.8,11-50,"Finance, Recruiting",01/01/2010,Operating,09/22/2013
Coursera,https://www.crunchbase.com/organization/coursera,"Software, Education, Internet Services","Mountain View, California, United States",Coursera is scaling a global platform to provide universal access to the world’s best education.,38,http://www.coursera.org,Series D,"$64,000,000","$210,100,000",5,101-250,"EdTech, Internet, Enterprise, Education",01/01/2012,Operating,06/07/2017
Unity Technologies,https://www.crunchbase.com/organization/unity-technologies,"Gaming, Science and Engineering, Hardware, Media and Entertainment, Software","San Francisco, California, United States","Unity Technologies is the creator of Unity, a high-performance end-to-end development platform that creates rich interactive experiences.",42,http://unity3d.com,Private Equity,"$400,000,000","$689,196,700",3.6,501-1000,"Enterprise Software, Embedded Systems, Content, Video Games, 3D Technology, Virtual Reality",08/08/2004,Operating,05/24/2017
Box,https://www.crunchbase.com/organization/box,"Hardware, Software, Internet Services","Los Altos, California, United States","Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls",43,http://www.box.com,Series G,"$150,000,000","$558,950,000",-0.8,1001-5000,"Cloud Computing, SaaS, Web Hosting, Non Profit, Flash Storage, Enterprise Software, File Sharing",01/01/2005,IPO,07/01/2014
Docker,https://www.crunchbase.com/organization/docker,"Software, Internet Services","San Francisco, California, United States","Docker is a platform for distributed applications that allows developers and sysadmins to build, ship, and run distributed applications.",45,https://www.docker.com,Secondary Market,,"$180,920,000",-1.5,101-250,"Open Source, Enterprise Software, SaaS, Cloud Computing",01/01/2010,Operating,05/05/2017
DJI,https://www.crunchbase.com/organization/dji,"Manufacturing, Science and Engineering, Hardware, Consumer Electronics, Mobile","Shenzhen, Guangdong, China",DJI Innovations is a Chinese company that produces commercial and recreational unmanned aerial systems.,47,http://www.dji.com/,Series B,"$75,000,000","$105,000,000",-0.3,1001-5000,"Aerospace, Manufacturing, Wireless, Consumer Electronics",11/06/2006,Operating,05/05/2015
GitHub,https://www.crunchbase.com/organization/github,"Software, Internet Services","San Francisco, California, United States",GitHub is a web-based Git repository hosting service offering distributed revision control and source code management functionality of Git.,48,https://github.com,Non-equity Assistance,,"$350,000,000",-0.8,101-250,"Project Management, Software, Developer Tools, Internet",02/29/2008,Operating,12/15/2015
Etsy,https://www.crunchbase.com/organization/etsy,"Commerce and Shopping, Sales and Marketing","Brooklyn, New York, United States",Etsy is an e-commerce site and a smartphone application for buying and selling handmade and vintage items.,49,https://www.etsy.com,Private Equity,,"$97,256,127",-0.8,501-1000,"E-Commerce, Marketplace, Sales",06/18/2005,IPO,05/15/2017
Symantec,https://www.crunchbase.com/organization/symantec,"Hardware, Information Technology, Consumer Electronics, Privacy and Security","Mountain View, California, United States","Symantec provides security, storage, and systems management solutions that help consumers secure and manage their information.",51,https://www.symantec.com/,Post-IPO Equity,"$500,000,000","$503,000,000",1.8,10001+,"Computer, Security, Cyber Security",01/01/1982,IPO,02/04/2016
ClassPass,https://www.crunchbase.com/organization/classpass,"Apps, Software, Sports, Health Care","New York, New York, United States",ClassPass is the leading membership to the world’s largest fitness network.,53,http://classpass.com,Series C,"$70,000,000","$154,000,000",6.3,101-250,"Health Care, Consumer Applications, Fitness, Subscription Service",06/01/2013,Operating,06/16/2017
Airbnb,https://www.crunchbase.com/organization/airbnb,"Travel and Tourism, Commerce and Shopping","San Francisco, California, United States","Airbnb is an online community marketplace for people to list, discover, and book accommodations around the world.",54,http://airbnb.com,Series F,"$447,800,000","$4,398,082,100",-1.3,1001-5000,"Hospitality, Travel, Sharing Economy, Marketplace, Travel Accommodations",08/11/2008,Operating,03/09/2017
HubSpot,https://www.crunchbase.com/organization/hubspot,"Media and Entertainment, Information Technology, Data and Analytics, Sales and Marketing, Internet Services","Cambridge, Massachusetts, United States","HubSpot develops cloud-based, inbound marketing software that allows businesses to transform the way that they market online.",55,http://www.hubspot.com,Series Unknown,"$35,000,000","$100,500,000",-0.2,501-1000,"Analytics, Marketing, Information Technology, Social Media",06/09/2006,IPO,11/10/2012
Nutanix,https://www.crunchbase.com/organization/nutanix,"Hardware, Information Technology, Software","San Jose, California, United States",Nutanix is a virtualized datacenter platform that provides disruptive datacenter infrastructure solutions for implementing enterprise-class.,62,http://www.nutanix.com,Series Unknown,"$6,506,044","$393,706,044",3.3,5001-10000,"Enterprise Software, Data Center, Virtualization",01/01/2009,IPO,09/06/2016
Glassdoor,https://www.crunchbase.com/organization/glassdoor,"Media and Entertainment, Professional Services, Internet Services","Mill Valley, California, United States",Glassdoor is a jobs and recruiting marketplace that is changing how people search for jobs and how companies recruit top talent.,63,http://glassdoor.com,Series H,"$40,000,000","$204,500,000",-0.4,501-1000,"Career Planning, Social Media, Employment, Recruiting",06/01/2007,Operating,06/03/2016
Zillow,https://www.crunchbase.com/organization/zillow,"Commerce and Shopping, Real Estate, Internet Services","Seattle, Washington, United States","Zillow is an online real estate marketplace for finding and sharing information about homes, real estate, and mortgages.",64,http://www.zillow.com,Post-IPO Equity,"$4,128,000","$96,627,980",2.4,1001-5000,"Marketplace, Real Estate, Online Portals",01/01/2005,IPO,12/12/2012
Eventbrite,https://www.crunchbase.com/organization/eventbrite,"Media and Entertainment, Events, Internet Services","San Francisco, California, United States",Eventbrite is the world’s largest event technology platform which powers more than two million events around the globe each year.,66,http://www.eventbrite.com,Private Equity,"$60,000,000","$198,275,000",4.1,251-500,"Event Management, Internet, Ticketing, Events",01/01/2006,Operating,03/13/2014
Addepar,https://www.crunchbase.com/organization/addepar,Financial Services,"Mountain View, California, United States",Addepar is an investment management platform for investors and advisors.,67,https://addepar.com,Series D,"$140,000,000","$205,839,694",7.9,101-250,"FinTech, SaaS, Finance",01/01/2009,Operating,06/08/2017
Blockchain,https://www.crunchbase.com/organization/blockchain-info,"Software, Payments, Financial Services","London, England, United Kingdom","Blockchain is a web-based bitcoin platform that makes using bitcoin safe, easy, and secure for all consumers and businesses worldwide.",68,http://blockchain.com/,Series B,"$40,000,000","$70,000,000",5,11-50,"Bitcoin, Finance, FinTech, Web Development",08/01/2011,Operating,06/22/2017
Spotify,https://www.crunchbase.com/organization/spotify,"Media and Entertainment, Music and Audio, Software, Internet Services, Video, Content and Publishing","Stockholm, Stockholms Lan, Sweden",Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists.,69,http://www.spotify.com,Secondary Market,,"$2,563,779,080",-2,1001-5000,"Music, Cloud Computing, Music Streaming, Video Streaming",07/14/2006,Operating,07/28/2016
Twilio,https://www.crunchbase.com/organization/twilio,"Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States","Twilio is a cloud communication company that enables users to use standard web languages to build voice, VoIP, and SMS apps via a web API.",70,http://www.twilio.com,Series E,"$130,000,000","$233,700,000",-1.2,501-1000,"Internet, Enterprise Software, SMS, VoIP",06/30/2008,IPO,07/29/2015
MongoDB,https://www.crunchbase.com/organization/mongodb-inc,"Data and Analytics, Software, Internet Services","New York, New York, United States","From startups to enterprises, for the modern and the mission-critical, MongoDB is the database for giant ideas.",71,http://www.mongodb.com,Series Unknown,,"$303,400,000",-0.6,501-1000,"Open Source, PaaS, Cloud Computing, Database",11/01/2007,Operating,08/18/2015
GrubHub,https://www.crunchbase.com/organization/grubhub,"Travel and Tourism, Food and Beverage, Transportation","Chicago, Illinois, United States","GrubHub allows users to find and order food from restaurants in their vicinity that deliver or offer pickup, via an app and a website.",72,http://www.grubhub.com,Private Equity,,"$84,100,000",5.7,501-1000,"Restaurants, Food Delivery, Hospitality",01/01/2004,IPO,08/21/2013
Warby Parker,https://www.crunchbase.com/organization/warby-parker,"Commerce and Shopping, Design","New York, New York, United States","BUY A PAIR, GIVE A PAIR For every pair of glasses purchased, WP provides a pair to someone in need.",73,http://www.warbyparker.com,Series D,"$100,000,000","$215,500,000",-0.5,,"Fashion, Retail, E-Commerce",01/01/2010,Operating,04/30/2015
App Annie,https://www.crunchbase.com/organization/app-annie,"Data and Analytics, Mobile","San Francisco, California, United States",App Annie delivers data and insights to succeed in the app economy.,75,http://www.appannie.com,Series E,"$63,000,000","$156,000,000",1.7,251-500,"Big Data, Mobile, Analytics",03/01/2010,Operating,01/13/2016
Atlassian,https://www.crunchbase.com/organization/atlassian,Software,"Sydney, New South Wales, Australia","Atlassian provides collaboration software for teams with products including JIRA, Confluence, HipChat, Bitbucket, and Stash.",76,http://www.atlassian.com,Secondary Market,"$150,000,000","$210,000,000",-1,1001-5000,"Collaboration, Enterprise Software, Developer Tools",01/01/2002,IPO,04/08/2014
LendUp,https://www.crunchbase.com/organization/lendup,Financial Services,"San Francisco, California, United States",LendUp is a socially responsible lender for the 56% of Americans shut out of mainstream banking due to low credit or volatile income.,79,http://www.lendup.com,Funding Round,,"$361,500,000",8.4,101-250,"Finance, FinTech, Lending",11/21/2011,Operating,06/28/2017
Palo Alto Networks,https://www.crunchbase.com/organization/palo-alto-networks,"Information Technology, Privacy and Security","Santa Clara, California, United States",Palo Alto Networks produces hardware firewall products that take an app-centric method for traffic classification and enable app visibility.,82,http://www.paloaltonetworks.com,Series C,"$10,000,000","$65,000,000",0.5,1001-5000,"Security, Cyber Security, Network Security",01/01/2005,IPO,11/03/2008
Yelp,https://www.crunchbase.com/organization/yelp,"Apps, Software, Internet Services, Mobile","San Francisco, California, United States",Yelp operates an online platform that connects people with local businesses.,86,http://yelp.com,Series E,"$25,000,000","$56,000,000",-0.2,501-1000,"Mobile, Search Engine, Customer Service, Apps",07/01/2004,IPO,01/27/2010
Vox Media,https://www.crunchbase.com/organization/vox-media,"Media and Entertainment, Sports, Internet Services, Advertising","Washington, District of Columbia, United States",Vox Media Inc. is an American digital media company.,87,http://www.voxmedia.com,Series F,"$200,000,000","$307,632,220",-0.4,251-500,"Digital Media, Internet, Advertising Platforms, Sports",01/01/2003,Operating,08/12/2015
Slack,https://www.crunchbase.com/organization/slack,"Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States","Slack is a team communication application providing services such as real-time messaging, archiving, and search for modern teams.",91,http://slack.com,Series F,"$200,000,000","$539,950,000",1,251-500,"Messaging, Real Time, Collaboration, Enterprise Software",01/01/2009,Operating,04/01/2016
Nextdoor,https://www.crunchbase.com/organization/nextdoor,"Media and Entertainment, Information Technology, Community and Lifestyle, Government and Military, Internet Services, Privacy and Security","San Francisco, California, United States",Nextdoor is a private social network that enables members to communicate with neighbors.,100,http://nextdoor.com,Series D,"$110,000,000","$210,200,000",5.3,101-250,"Privacy, Social Media, Communities, Internet, GovTech, Private Social Networking",01/01/2010,Operating,03/03/2015
Teladoc,https://www.crunchbase.com/organization/teladoc,"Health Care, Mobile","Purchase, New York, United States","Teladoc is the nation’s first and largest telehealth platform, transforming the access, cost and quality dynamics of health care delivery.",104,http://www.teladoc.com,Post-IPO Debt,"$80,000,000","$172,850,085",6.8,501-1000,"Hospital, mHealth, Health Care",01/01/2002,IPO,07/12/2016
Evernote,https://www.crunchbase.com/organization/evernote,"Platforms, Information Technology, Software, Mobile","Redwood City, California, United States","Evernote is a suite of software and services that allow users to capture, organize, and find information across multiple platforms.",105,http://www.evernote.com,Series E,"$20,000,000","$290,000,000",-0.1,251-500,"Mobile, Information Technology, iOS, Information Services",07/01/2007,Operating,11/09/2014
Kik,https://www.crunchbase.com/organization/kik-interactive,"Hardware, Media and Entertainment, Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Waterloo, Ontario, Canada","Kik lets users connect with friends, groups, and the world around them through chat.",106,http://kik.com/,Series D,"$50,000,000","$120,500,000",-0.1,101-250,"Social Media, Wireless, Messaging, Mobile, Video Chat",01/01/2009,Operating,08/18/2015
TaskRabbit,https://www.crunchbase.com/organization/taskrabbit,"Apps, Commerce and Shopping, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","San Francisco, California, United States","TaskRabbit is an app that allows users to get help with their everyday chores such as cleaning, delivery, moving, and handyman services.",109,http://www.taskrabbit.com,Secondary Market,,"$37,675,000",-0.1,51-100,"E-Commerce, Location Based Services, Apps, Mobile",01/01/2008,Operating,08/01/2015
DocuSign,https://www.crunchbase.com/organization/docusign,"Hardware, Information Technology, Consumer Electronics, Software, Sales and Marketing, Internet Services","San Francisco, California, United States","DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.",110,http://www.docusign.com,Secondary Market,,"$533,552,377",-0.5,1001-5000,"Cloud Management, Computer, Digital Signage",01/01/2003,Operating,08/01/2016
Sumo Logic,https://www.crunchbase.com/organization/sumo-logic,"Data and Analytics, Software","Redwood City, California, United States","Sumo Logic, a log management and analytics service, transforms big data into sources of operations, security and compliance intelligence.",113,http://www.sumologic.com,Series F,"$75,000,000","$230,000,000",7.4,101-250,"SaaS, Analytics, Enterprise Software",01/01/2010,Operating,06/27/2017
Fiverr.com,https://www.crunchbase.com/organization/fiverr,"Software, Professional Services","Tel Aviv, Tel Aviv, Israel",Fiverr is a freelance services platform.,115,http://www.fiverr.com,Series D,"$60,000,000","$111,000,000",9.2,101-250,"Task Management, Outsourcing, Collaborative Consumption",02/01/2010,Operating,11/11/2015
AppNexus,https://www.crunchbase.com/organization/appnexus,"Sales and Marketing, Internet Services, Advertising","New York, New York, United States",AppNexus is a technology company whose cloud-based software platform enables and optimizes programmatic online advertising.,116,http://www.appnexus.com,Funding Round,"$31,000,000","$346,471,856",-0.9,1001-5000,"Internet, Advertising, Service Industry",09/01/2007,Operating,09/28/2016
Groupon,https://www.crunchbase.com/organization/groupon,"Commerce and Shopping, Media and Entertainment, Sales and Marketing, Internet Services, Advertising","Chicago, Illinois, United States",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,118,http://www.groupon.com,Post-IPO Equity,"$250,000,000","$1,387,000,000",-1.2,1001-5000,"Retail, Social Media, Advertising, Internet",11/11/2008,IPO,04/04/2016
Udacity,https://www.crunchbase.com/organization/udacity,"Software, Education, Internet Services","Mountain View, California, United States","Udacity provides online courses and credentials, built by AT&T, Google, etc. for data analysts, web or mobile developers.",119,http://www.udacity.com,Series D,"$105,000,000","$160,000,000",-0.4,101-250,"Education, E-Learning, Internet, EdTech",01/01/2011,Operating,11/11/2015
Workday,https://www.crunchbase.com/organization/workday,"Software, Financial Services","Pleasanton, California, United States",Workday provides SaaS-based enterprise solutions for a company's human resources and financial management activities.,122,http://www.workday.com,Series F,"$85,000,000","$230,550,000",0,501-1000,"Enterprise Software, SaaS, FinTech, Web Development, Human Resources, Finance",03/01/2005,IPO,10/24/2011
BlaBlaCar,https://www.crunchbase.com/organization/blablacar,"Travel and Tourism, Transportation","Paris, Ile-de-France, France",BlaBlaCar is the largest long distance ridesharing platform that connects drivers with empty seats and passengers to share travel costs,123,http://www.blablacar.com,Funding Round,"€21,000,000","$333,458,008",0.5,501-1000,"Travel, Transportation, Collaborative Consumption, Car Sharing",01/01/2006,Operating,09/06/2016
Change.org,https://www.crunchbase.com/organization/change-org,"Sales and Marketing, Internet Services","San Francisco, California, United States",Change.org is social change platform with over 150 million users worldwide.,124,http://www.change.org,Series D,"$30,000,000","$72,000,000",7.8,251-500,"Non Profit, Internet, Lead Generation",02/01/2007,Operating,05/26/2017
Lending Club,https://www.crunchbase.com/organization/lending-club,"Financial Services, Lending and Investments","San Francisco, California, United States",Lending Club is an online financial community that brings together creditworthy borrowers and savvy investors.,125,https://lendingclub.com,Post-IPO Equity,,"$392,230,000",-0.9,501-1000,"Finance, FinTech, Credit, Lending, Consumer Lending, Personal Finance",01/01/2007,IPO,04/09/2017
Hootsuite,https://www.crunchbase.com/organization/hootsuite,"Apps, Media and Entertainment, Information Technology, Software, Sales and Marketing, Internet Services, Messaging and Telecommunications, Advertising","Vancouver, British Columbia, Canada","Hootsuite is the world's most widely used platform for managing social media. Over 15 million users, including 800+ of the Fortune 1000.",126,https://hootsuite.com/,Series D,"$60,000,000","$249,900,000",-1.5,501-1000,"Apps, Messaging, Brand Marketing, Social Media, Advertising",11/28/2008,Operating,09/25/2014
MuleSoft,https://www.crunchbase.com/organization/mulesoft,"Apps, Software, Financial Services","San Francisco, California, United States",MuleSoft is a provider of the leading platform for building application networks.,127,http://www.mulesoft.com,Series G,"$128,000,000","$259,000,000",-1.8,501-1000,"FinTech, Enterprise Software, Apps, Developer APIs",01/01/2006,IPO,05/19/2015
Wealthfront,https://www.crunchbase.com/organization/wealthfront,"Financial Services, Lending and Investments","Redwood City, California, United States","Wealthfront is the largest and fastest growing automated investment service, with over $2 billion in assets under management.",129,http://wealthfront.com,Series D,"$64,000,000","$129,500,000",2.7,11-50,"Wealth Management, Finance, Personal Finance, Financial Services, Stock Exchanges, FinTech",01/01/2011,Operating,10/27/2014
FireEye,https://www.crunchbase.com/organization/fireeye,"Information Technology, Software, Internet Services, Privacy and Security","Milpitas, California, United States",FireEye is a malware protection system that blocks attacks across web and email threat vectors and latent malware resident on file shares.,132,http://www.fireeye.com,Post-IPO Equity,"$739,265,776","$840,945,776",-1.1,1001-5000,"Web Development, Network Security, Internet, Security",01/01/2004,IPO,01/10/2014
Hyperloop One,https://www.crunchbase.com/organization/hyperloop-technolgies,"Manufacturing, Travel and Tourism, Transportation","Los Angeles, California, United States",Hyperloop One reinvents transportation to eliminate barriers of time.,133,https://hyperloop-one.com/,Convertible Note,"$50,000,000","$141,100,000",-0.1,101-250,"Travel, Transportation, Manufacturing",01/01/2014,Operating,10/13/2016
Funding Circle,https://www.crunchbase.com/organization/funding-circle,Financial Services,"London, England, United Kingdom",Funding Circle is an online marketplace for business loans that connects businesses borrowing with investors.,135,http://www.fundingcircle.com,Series F,"$100,000,000","$413,237,070",-0.7,251-500,"Finance, FinTech, Financial Services, Personal Finance",08/13/2010,Operating,01/11/2017
Hortonworks,https://www.crunchbase.com/organization/hortonworks,"Data and Analytics, Software","Santa Clara, California, United States",Hortonworks is a business computer software company focused on the development and support of Apache Hadoop.,136,http://www.hortonworks.com,Series D,"$50,000,000","$248,000,000",-0.1,,"Software, Enterprise Software, Big Data",06/01/2011,IPO,07/24/2014
comScore,https://www.crunchbase.com/organization/comscore,Data and Analytics,"Reston, Virginia, United States","comScore is a cross-platform measurement company that measures audiences, brands, and consumer behavior.",140,http://www.comscore.com,Post-IPO Equity,"$300,000,000","$389,639,769",-0.6,1001-5000,"Test and Measurement, Consumer",08/01/1999,IPO,12/24/2015
Lyft,https://www.crunchbase.com/organization/lyft,"Apps, Software, Transportation, Mobile","San Francisco, California, United States",Lyft is reconnecting people and communities through better transportation.,141,http://lyft.com,Series G,"$600,000,000","$2,612,500,000",-1.4,1001-5000,"Mobile Apps, Transportation, Ride Sharing, Peer to Peer",05/01/2012,Operating,04/11/2017
Cylance,https://www.crunchbase.com/organization/cylance,"Science and Engineering, Hardware, Information Technology, Consumer Electronics, Data and Analytics, Software, Privacy and Security","Irvine, California, United States",Cylance is a global provider of cybersecurity products and services to solve the world's most difficult security problems.,142,http://www.cylance.com,Series D,"$100,000,000","$177,000,000",-0.3,501-1000,"Artificial Intelligence, Computer, Machine Learning, Cyber Security",07/04/2012,Operating,06/08/2016
Rocket Lab,https://www.crunchbase.com/organization/rocket-lab,"Manufacturing, Science and Engineering, Hardware, Consumer Electronics","Los Angeles, California, United States",Rocket Lab is redefining how we access space.,144,http://www.rocketlabusa.com/,Series D,"$75,000,000","$75,000,000",4.9,11-50,"Industrial Manufacturing, Electronics, Aerospace",01/01/2006,Operating,03/21/2017
Upwork,https://www.crunchbase.com/organization/odesk,"Commerce and Shopping, Software, Professional Services","Mountain View, California, United States","Upwork, the world’s largest freelancing website, makes it easier to get work done—anytime, anywhere.",146,https://www.upwork.com/,Series Unknown,"$30,000,000","$168,800,000",1.2,251-500,"Marketplace, Enterprise Software, Freelance",01/01/2014,Operating,11/25/2014
Freshdesk,https://www.crunchbase.com/organization/freshdesk,"Information Technology, Software","San Bruno, California, United States","Freshdesk enables companies to provide multichannel support via phone, email, chat, website, social networks, and mobile apps.",148,http://www.freshdesk.com/,Series F,"$55,000,000","$148,999,930",-0.3,501-1000,"Customer Service, Information Technology, Software",01/01/2010,Operating,11/01/2016
Redfin,https://www.crunchbase.com/organization/redfin,"Real Estate, Internet Services","Seattle, Washington, United States",Redfin provides real estate search and brokerage services through a combination of real estate web platforms and access to live agents.,150,http://www.redfin.com/,Series G,"$71,000,000","$167,820,000",-0.1,501-1000,"Internet, Property Management, Real Estate",10/01/2004,Operating,12/18/2014
Illumio,https://www.crunchbase.com/organization/illumio,"Hardware, Information Technology, Software, Privacy and Security","Sunnyvale, California, United States",Illumio stops cyber threats by controlling the lateral movement of unauthorized communications through adaptive segmentation.,151,http://www.illumio.com,Series D,"$125,000,000","$267,500,000",6.2,101-250,"Cloud Security, Security, Enterprise Software, Data Center",01/01/2013,Operating,06/07/2017
