Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
Trinity Ventures,/organization/trinity-ventures,353,94,"Menlo Park, California, United States","Founded in 1986, Trinity Ventures is an early stage venture capital firm.","1,485",-1.9,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
General Catalyst,/organization/general-catalyst-partners,539,93,"Cambridge, Massachusetts, United States",General Catalyst is a venture capital firm that makes early-stage and growth equity investments.,108,6.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Techstars,/organization/techstars,730,92,"Boulder, Colorado, United States",Techstars is a Worldwide Network that helps entrepreneurs succeed,4,-0.2,Accelerator,"Seed, Early Stage Venture, Debt"
Austin Ventures,/organization/austin-ventures,365,92,"Austin, Texas, United States",Austin Ventures is a venture capital firm investing in early stage and middle market companies.,"2,728",-4.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Oak Investment Partners,/organization/oak-investment-partners,370,92,"Greenwich, Connecticut, United States",Oak Investment Partners is a multi-stage venture capital and private equity firm.,"10,049",-1.6,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Polaris Partners,/organization/polaris-partners,464,91,"Boston, Massachusetts, United States",Polaris Partners invests in exceptional technology and healthcare companies across all stages of their lifecycles.,783,4.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
GV,/organization/google-ventures,516,87,"Mountain View, California, United States","GV provides seed, venture, and growth stage funding to technology companies.",88,1.9,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Felicis Ventures,/organization/felicis-ventures,341,85,"Menlo Park, California, United States",Felicis Ventures is a boutique VC firm that backs iconic companies reinventing existing markets and creating frontier technologies.,436,4.9,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Highland Capital Partners,/organization/highland-capital-partners,396,85,"Palo Alto, California, United States","Highland Capital Partners is a Massachusetts-based venture capital firm that offers seed-, early-, and growth-stage funding solutions.","1,202",-4.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Andreessen Horowitz,/organization/andreessen-horowitz,549,84,"Menlo Park, California, United States",Andreessen Horowitz is a Silicon Valley-based venture capital firm with $2.7 billion under management. They invest from seed to growth.,28,4.5,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
OrbiMed,/organization/orbimed-advisors,259,84,"New York, New York, United States","OrbiMed is a healthcare-dedicated investment firm, with approximately $5 billion in assets under management.",879,1.7,Private Equity Firm,"Post-Ipo, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
SoftBank Capital,/organization/softbank-capital,265,83,"Tokyo, Tokyo, Japan",SoftBank Capital is a multi-stage venture capital fund that partners with entrepreneurs building disruptive enduring businesses.,"1,411",-5.8,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
North Bridge Venture Partners & Growth Equity,/organization/north-bridge-venture-partners,403,82,"Waltham, Massachusetts, United States","North Bridge provides seed-to-growth stage funding for businesses in several sectors such as software, communications and infrastructure.","2,190",2.4,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
InterWest Partners,/organization/interwest-partners,386,80,"Menlo Park, California, United States",InterWest invests an average of about $7 - 15 million over the span of their involvement with each company in their portfolio.,"2,475",0.1,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Brand Capital,/organization/brandcapital,553,79,"Mumbai, Maharashtra, India","Over ten years, Brand Capital has partnered in the building of over 850+ indigenous brands.","2,237",-0.6,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
VantagePoint Capital Partners,/organization/vantagepoint-capital-partners,255,77,"San Bruno, California, United States","VantagePoint Capital Partners (formerly VantagePoint Venture Partners, until 2011) has more than $4.5 billion in capital under management","4,789",-0.8,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Cisco,/organization/cisco,191,76,"San Jose, California, United States","Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.",86,3.5,,
IVP (Institutional Venture Partners),/organization/institutional-venture-partners,224,74,"Menlo Park, California, United States",Institutional Venture Partners is a California-based later-stage venture capital firm focused on technology and media companies.,549,0.5,Venture Capital,"Late Stage Venture, Private Equity"
Apax Partners,/organization/apax-partners,182,74,"New York, New York, United States","Private equity investment group, Apax Partners, invest in leveraged and management buy-outs, growth capital and late venture funds.",612,-2.6,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture"
RRE Ventures,/organization/rre-ventures,418,72,"New York, New York, United States","RRE Ventures is a New York-based venture capital firm that offers early-stage funding to software, internet, and communications companies.",802,-5.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
DAG Ventures,/organization/dag-ventures,237,71,"Palo Alto, California, United States","The firm invests in a variety of IT, energy, and life sciences companies.","2,804",2.9,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Insight Venture Partners,/organization/insight-venture-partners,252,70,"New York, New York, United States",Insight Venture Partners is a private equity and venture capital firm investing in growth-stage companies.,109,-0.5,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Lerer Hippeau Ventures,/organization/lerer-ventures,347,70,"New York, New York, United States",Lerer Hippeau Ventures is a seed stage venture capital fund based in New York City.,439,5.7,Micro VC,"Seed, Early Stage Venture"
Sutter Hill Ventures,/organization/sutter-hill-ventures,252,69,"Palo Alto, California, United States",Sutter Hill Ventures has financed technology-based start-ups and assisted entrepreneurs in building market-leading companies since 1962.,"1,285",1.9,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Founder Collective,/organization/founder-collective,311,67,"Cambridge, Massachusetts, United States",Founder Collective is a Massachusetts-based seed-stage venture capital fund that helps entrepreneurs build their businesses.,"1,212",-1.8,Micro VC,Seed
Sofinnova Ventures,/organization/sofinnova-ventures,195,67,"Menlo Park, California, United States","Since 1974, Sofinnova Ventures has partnered with entrepreneurs to secure initial funding, build successful teams, win key customers, and","2,492",-1.6,Venture Capital,"Early Stage Venture, Late Stage Venture"
Motorola Solutions Venture Capital,/organization/motorola-solutions-venture-capital,151,67,"Chicago, Illinois, United States","Motorola Ventures helps turn great new ideas into thriving businesses. They are not a lab, but like one, they are about discovery. They","5,726",-1.5,Corporate Venture Capital,"Early Stage Venture, Debt"
DCM Ventures,/organization/dcm,378,66,"Menlo Park, California, United States",DCM Ventures is an early stage VC empowering the global ambitions of inspired entrepreneurs,581,-2.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Sierra Ventures,/organization/sierra-ventures,277,65,"San Mateo, California, United States","Since 1982, Sierra Ventures, a privately held venture capital firm, has helped entrepreneurs around the world start and grow over 200","2,333",-0.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Mohr Davidow Ventures,/organization/mohr-davidow-ventures,287,65,"San Mateo, California, United States",The Mohr Davidow team partners with exceptional entrepreneurs and startup teams to build category-leading companies.,"2,953",0.5,Venture Capital,"Seed, Grant, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Khosla Ventures,/organization/khosla-ventures,532,64,"Menlo Park, California, United States","Khosla Ventures is a venture capital firm that focuses on environmentally friendly tech, internet, computing, mobile, and silicon tech.",67,-0.6,Venture Capital,"Post-Ipo, Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
True Ventures,/organization/true-ventures,395,64,"Palo Alto, California, United States",True Ventures is a Silicon Valley-based venture capital firm that invests in early-stage technology startups.,622,7.3,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Uncork Capital,/organization/softtech-vc,243,63,"Palo Alto, California, United States","Uncork Capital is a seed-stage venture firm that commits early, helps with the hard stuff, and sticks around. Really.",822,-0.7,Micro VC,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Ronald Conway,/person/ron-conway,133,63,"San Francisco, California, United States",Ronald Conway has been an active angel investor for over 15 years. He was the Founder and Managing Partner of the Angel Investors LP funds (...,"2,763",-2,"Investment Partner, Individual/Angel",Seed
Sigma Partners,/organization/sigma-partners,335,63,"Boston, Massachusetts, United States","Sigma Partners is a venture capital firm, founded in 1984, that has invested in over a hundred early stage companies and has over $2","4,564",-0.9,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
GGV Capital,/organization/ggv-capital,325,62,"Menlo Park, California, United States",GGV Capital is a $3.8 billion multi-stage venture capital firm based in Silicon Valley and China.,141,-0.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Right Side Capital Management,/organization/right-side-capital-management,662,62,"San Francisco, California, United States","Right Side Capital Management invests in capital-efficient, seed-stage technology startups across the U.S. in every technology sector.",876,3.8,Micro VC,Seed
Crosslink Capital,/organization/crosslink-capital,298,61,"San Francisco, California, United States",Crosslink Capital is a leading early-stage venture capital firm based in San Francisco with over $1.6 billion in assets.,460,-2.7,Venture Capital,"Seed, Early Stage Venture"
Alta Partners,/organization/alta-partners,202,61,"San Francisco, California, United States","Alta Partners is a leading venture capital firm in life sciences, funding over 130 companies in the industry since 1996.","2,857",2.9,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Ignition Partners,/organization/ignition-partners,275,60,"Bellevue, Washington, United States",Ignition Partners is a venture capital firm dedicated to helping the best entrepreneurs seize opportunity.,"2,007",-4.2,Venture Capital,Early Stage Venture
Morgenthaler Ventures,/organization/morgenthaler-ventures,275,60,"Menlo Park, California, United States",Morgenthaler Ventures is a venture capital and private equity firm that invests in IT and life sciences companies.,"4,654",-2,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
The Carlyle Group,/organization/carlyle-group,180,59,"Washington, District of Columbia, United States",The Carlyle Group is a Washington-based private equity firm that caters to early and later stage companies.,110,6.3,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
BDC Venture Capital,/organization/bdc-venture-capital,303,58,"Montréal, Quebec, Canada",BDC Venture Capital is a venture capital investment firm investing directly in Canadian tech companies.,"1,248",3.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Venture"
NYSERDA,/organization/nyserda,"1,003",58,"Albany, New York, United States","NYSERDA is a new york government website and they provide more information business & industry, investors and more info.","2,657",-1.5,Government Office,Early Stage Venture
Domain Associates,/organization/domain-associates,233,58,"San Diego, California, United States","Founded in 1985, Domain Associates, L.L.C. is a venture capital firm with an exclusive focus on life sciences. With $2 billion of capital","4,799",-2.8,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Versant Ventures,/organization/versant-ventures,257,57,"Menlo Park, California, United States","Versant Ventures caters to the healthcare sector with early and later stage venture, private equity, and debt financing investments.","1,803",-0.2,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Trident Capital,/organization/trident-capital,217,57,"Palo Alto, California, United States","Trident Capital is a venture capital and growth equity firm investing in software, business services and internet-focused companies.","4,661",-2.7,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Vertex Ventures,/organization/vertex-ventures,272,56,"Singapore, Central Region, Singapore","Vertex Ventures is a global network of funds with teams in US, Israel, China, India, and Southeast Asia.",437,-0.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
BoxGroup,/organization/boxgroup,266,56,"New York, New York, United States",BoxGroup is an early stage investment fund focused on technology companies.,669,-4.1,Micro VC,"Seed, Early Stage Venture, Late Stage Venture"
CF,/organization/crunchfund,220,55,"San Francisco, California, United States",CF is an early stage venture capital firm founded in 2011 by Patrick Gallagher and Michael Arrington.,785,4.2,Micro VC,"Seed, Early Stage Venture, Late Stage Venture, Debt"
MPM Capital,/organization/mpm-capital,185,55,"Cambridge, Massachusetts, United States","MPM Capital caters to the healthcare sector with seed, early, and later stage venture, and private equity investments.","3,764",-0.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Bay Partners,/organization/bay-partners,169,55,"Menlo Park, California, United States",Bay Partners is a California-based venture capital firm that funds information technology and healthcare businesses.,"4,461",2.9,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Advanced Technology Ventures,/organization/advanced-technology-ventures,233,55,"Menlo Park, California, United States","Advanced Technology Ventures focuses on investing in the ICT, infrastructure, consumer technology, bio-pharmaceuticals and medical industry.","4,993",-0.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
General Atlantic,/organization/general-atlantic,143,54,"New York, New York, United States",General Atlantic is a leading global growth equity firm providing capital and strategic support for growth companies.,391,-2.3,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Sapphire Ventures,/organization/sapphire-ventures,165,54,"Palo Alto, California, United States",Sapphire Ventures is focused on helping today’s most innovative technology companies become global category-defining leaders.,560,8.9,Venture Capital,"Early Stage Venture, Late Stage Venture"
Icon Ventures,/organization/iconventures,178,54,"Palo Alto, California, United States",Icon Ventures is a specialty venture capital firm focused on leading Series B or C financings.,"1,828",-2.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Warburg Pincus,/organization/warburg-pincus,226,53,"New York, New York, United States",Warburg Pincus LLC is a global private equity firm focused on growth investing.,214,-0.4,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Great Oaks Venture Capital,/organization/great-oaks-venture-capital,320,53,"New York, New York, United States","Great Oaks is an early stage venture investment firm founded by Andrew Boszhardt, Jr.",484,4.5,Micro VC,"Seed, Early Stage Venture"
GE Capital,/organization/ge-capital,111,53,"Ottawa, Ontario, Canada","One of General Electric's largest growth engines, GE Capital Solutions offers lending products, growth capital, revolving lines of credit,","3,127",-0.4,Corporate Venture Capital,"Grant, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Sevin Rosen Funds,/organization/sevin-rosen-funds,207,53,"Dallas, Texas, United States","Although technologies and markets have changed dramatically during the last 25 years, the investment principles upon which Sevin Rosen","4,945",-0.2,Venture Capital,"Early Stage Venture, Late Stage Venture, Debt"
Bain Capital Ventures,/organization/bain-capital-ventures,276,52,"Boston, Massachusetts, United States",Bain Capital Ventures invests in seed to growth-stage startups that are using tech to disrupt existing markets or create entirely new ones. ,26,3.9,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Greycroft Partners,/organization/greycroft-partners,360,52,"New York, New York, United States",Greycroft Partners is a leading venture capital firm focused on investments in the Internet and mobile markets.,282,-4.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Madrona Venture Group,/organization/madrona-venture-group,266,52,"Seattle, Washington, United States",Madrona Venture Group is a Seattle-based venture capital firm that invests in early-stage technology companies in the Pacific Northwest.,351,-3.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
FLOODGATE,/organization/floodgate,253,52,"Palo Alto, California, United States","FLOODGATE caters to digital businesses with early, seed, and later stage venture, and debt financing investments.","1,039",-2.9,Micro VC,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Comcast Ventures,/organization/comcast-interactive-capital,230,52,"San Francisco, California, United States",Comcast Ventures is the private venture capital affiliate of Comcast Corporation. It consists of the recently combined Comcast Interactive,"1,112",-3.3,"Venture Capital, Corporate Venture Capital","Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Tech Coast Angels,/organization/tech-coast-angels,402,52,"Newport Beach, California, United States",Invests in high-growth start-up's headquartered in Southern California,"1,164",-6.3,Angel Group,"Seed, Early Stage Venture, Late Stage Venture"
Shasta Ventures,/organization/shasta-ventures,262,51,"Menlo Park, California, United States",Shasta Ventures is an early stage firm investing in enterprise and consumer companies with a deep focus on emerging platforms.,753,2.2,Venture Capital,"Seed, Early Stage Venture"
Scale Venture Partners,/organization/scale-venture-partners,180,51,"Foster City, California, United States",Scale Venture Partners is a VC firm that invests in enterprise technology companies with a focus on SaaS and cloud infrastructure.,"1,048",-1.6,Venture Capital,"Early Stage Venture, Late Stage Venture"
ARCH Venture Partners,/organization/arch-venture-partners,252,50,"Chicago, Illinois, United States","ARCH invests primarily in companies co-founded with leading scientists and entrepreneurs, concentrating on bringing to market innovations","1,175",-2.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Pequot Capital,/organization/pequot-capital,143,50,"Westport, Connecticut, United States","Pequot Capital Management, Inc. announced its closing in 2009. Pequot Capital Management, Inc. is a U.S. registered investment adviser","7,435",-0.4,"Venture Capital, Government Office","Early Stage Venture, Late Stage Venture, Debt"
HV Holtzbrinck Ventures,/organization/holtzbrinck-ventures,220,49,"Munich, Bayern, Germany",HV Holtzbrinck Ventures is a Munich- and Berlin-based venture capital firm that supports founders in developping their internet companies.,584,5.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Qualcomm Ventures,/organization/qualcomm-ventures,289,49,"San Diego, California, United States",Qualcomm Ventures (QCV) was formed and began funding in 2000.,631,-1.3,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Lehman Brothers,/organization/lehman-brothers,102,49,"New York, New York, United States",Lehman Brothers is a global financial services firm.,"2,840",-0.6,Investment Bank,"Early Stage Venture, Late Stage Venture"
"Hercules Capital, Inc.",/organization/herculescapital,90,49,"Palo Alto, California, United States","Hercules Capital, a California-based company, lends to technology, life sciences, and sustainable technology companies.","3,183",-2.3,Venture Debt,"Post-Ipo, Seed, Late Stage Venture, Debt, Early Stage Venture"
Walden International,/organization/walden-international,168,48,"San Francisco, California, United States","A venture capital firm with over $1.6 billion in investments, Walden international had offices globally and invests in four sectors:","1,571",1.9,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
"HWVP, Hummer Winblad Venture Partners",/organization/hummer-winblad-venture-partners,198,48,"San Francisco, California, United States",Hummer Winblad Venture Partners is a California-based venture capital firm that invests in early-stage enterprise software companies.,"2,325",2.5,Venture Capital,Early Stage Venture
Western Technology Investment,/organization/western-technology-investment,184,47,"Portola Valley, California, United States",Western Technology Investment is a venture capital firm that specializes in offering acquisition financing to revenue generating firms.,"1,429",-0.8,Venture Capital,"Seed, Grant, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
August Capital,/organization/august-capital,227,47,"Menlo Park, California, United States",August Capital manages over $2.5 billion in committed capital and has invested in a mix of companies across the IT spectrum.,"1,435",-3,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Globespan Capital Partners,/organization/globespan-capital-partners,173,47,"Palo Alto, California, United States",Globespan Capital Partners is a California-based venture capital firm that finances startups in the IT industry.,"3,621",2.6,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Norwest Equity Partners (NEP),/organization/norwest-equity-partners,107,47,"Minneapolis, Minnesota, United States",NEP is a leading middle market investment firm focused on partnering with business owners to build companies into industry leaders.,"4,188",3,Private Equity Firm,Private Equity
IDG Capital Partners,/organization/idg-capital-partners,444,46,"Beijing, Beijing, China",IDG Capital Partners is a Chinese investment firm that funds early- to growth-stage companies in the technology sector.,112,8.5,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Morgan Stanley,/organization/morgan-stanley,115,46,"Palo Alto, California, United States","Morgan Stanley is an American financial services company that offers securities, asset management, and credit services.",124,-0.7,Investment Bank,"Post-Ipo, Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
RA Capital Management,/organization/ra-capital-management,75,46,"Boston, Massachusetts, United States",RA Capital Management is an investment advisor based in Boston specializing in the life-sciences and drug development sectors.,"3,082",3.7,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Post-Ipo"
JPMorgan Partners (JPMP),/organization/j-p-morgan-partners,102,46,"New York, New York, United States","J.P. Morgan Partners, LLC (JPMP) is a private equity division of JPMorgan Chase & Co. (NYSE: JPM), one of the largest financial.","4,310",-0.3,Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity"
